ID,DATE,NAME,EVENT
235, 1976-11        , Nobel Peace Prise Awarded            , Peace People leaders Mairead Corrigan and Betty Williams were awarded the Nobel peace prise. 
236, 1976-12        , Fair Employment Act                  ," The Fair Employment Act was passed, making it an offence to discriminate in employment on religious or political grounds. It created the Fair Employment Agency. "
237, 1977-03        , Faulkner’s Death                     , Faulkner died in a horse-riding accident.                                  
238, 1977-03        , SAS Detained in Dublin               , In Dublin eight SAS men were fined after being detained on the southern side of the border. 
239, 1977-03        , UVF Trial Sentences                  , Twenty-six men were sentenced to a total of 700 years in prison following a major UVF trial. 
240, 1977-04        , Loyalist Strike Plans                , Paisley and the UDA announced plans for a second loyalist workers’ strike. It was opposed by the UUP and others. 
241, 1977-05-02  , Loyalist Strike                      , The strike began on 2 May but was called off on 13 May.                    
242, 1977-06        , Irish General Election               , A general election in the south resulted in a Fianna Fáil government led by Jack Lynch. 
243, 1977-07        , IRA-OIRA Feud                        , Several people were killed in Belfast as a result of a feud between the Provisional IRA and the Official IRA. 
244, 1977-08        , Queen’s Belfast Visit                , The Queen visited Belfast as part of her jubilee celebrations.             
245, 1977-08        , Jimmy Carter’s Statement             ," US President Jimmy Carter expressed support for a NI government that would have widespread acceptance, offering economic aid in the event of such agreement. "
246, 1977-09        , SDLP’s ‘Agreed Ireland’              , The SDLP declared its support for ‘an agreed Ireland’.                     
247, 1977-10        , Irish Independence Party             , The Irish Independence Party was launched in opposition to the SDLP.       
248, 1977-11        , SDLP Rejects Withdrawal              , The SDLP conference rejected calls for a British withdrawal.               
249, 1977-12        , Hotel Bombings                       , Five hotels were damaged by IRA bombs.                                     
250, 1978-01        , Fair Employment Report               , The Fair Employment Agency reported that unemployment was higher among Catholics than among Protestants. 
251, 1978-01        , ECHR Ruling on Interrogation         , The European Court of Human Rights ruled that interrogation methods used on internees in 1971 did not constitute torture but did amount to ‘inhuman and degrading treatment’. 
252, 1978-02        , La Mon Hotel Bombing                 , The IRA firebombing of La Mon Hotel outside Belfast killed twelve people.  
253, 1978-03        , Mase ‘Dirty Protest’ Escalates       , The Mase prison dispute escalated when republican inmates began spreading excrement around their cells. 
254, 1978-04        , Airey Neave’s Statement              , Conservative spokesman Airey Neave said that powersharing was no longer practical politics. 
255, 1978-04        , NI MPs Increased                     , James Callaghan announced that the number of NI MPs would be increased.    
256, 1978-05        , Belfast’s First Non-Unionist Mayor   ," Belfast elected its first non-Unionist mayor, David Cook of the Alliance party. "
257, 1978-07        , Archbishop Ó Fiaich’s Prison Visit   ," The head of the Irish Catholic Church, Archbishop Tomás Ó Fiaich, visited the Mase prison and said it reminded him of a Calcutta slum. "
258, 1978-08        , De Lorean Investment                 ," The De Lorean car company announced plans to build luxury sports cars in south Belfast, with a £56 million government subsidy. "
259, 1978-11        , Mase Deputy Governor Killed          , Widespread IRA bomb attacks caused serious damage. The deputy governor of the Mase prison was killed by the IRA. 
260, 1979-01        , New Year IRA Bombings                , IRA bombs exploded across NI on the first day of the year.                 
261, 1979-02        , Shankill Butchers Convicted          , Members of the loyalist Shankill Butchers gang were convicted and given long sentences for nineteen killings and other offences. 
262, 1979-03        , Castlereagh Abuse Allegations        , A leading police doctor said he had seen a large number of people who had been physically ill-treated in Castlereagh interrogation centre. 
263,1979, Ambassador Sykes Killed              ," The IRA shot and killed the British ambassador to Holland, Sir Richard Sykes. Twenty-four IRA bombs exploded at different locations. "
264, 1979-03        , Callaghan Government Falls           ," The Callaghan government was defeated in a Commons confidence vote, precipitating a general election. "
265, 1979-03        , Airey Neave Assassinated             , Conservative NI spokesman Airey Neave was killed by an INLA bomb while leaving the Commons. 
266, 1979-04        , Bessbrook Bombing                    ," Four RUC men were killed in an IRA bomb attack at Bessbrook, County Armagh. "
267, 1979-05        , Thatcher Elected                     ," The Conservatives won the general election, bringing Margaret Thatcher to power with former chief whip Humphrey Atkins as NI Secretary. "
268, 1979-08-27     , Mountbatten and Warrenpoint Attacks  ," Two major IRA attacks on 27 August killed Lord Mountbatten and others in a boat off the Sligo coast, while 18 soldiers and a civilian died in an ambush near Warrenpoint in County Down. "
269, 1979-09        , Pope’s Appeal to IRA                 , Pope John Paul II visited Ireland. Addressing himself to the IRA he appealed: ‘On my knees I beg you to turn away from the paths of violence and return to the paths of peace.’ 
270, 1979-10        , Atkins Initiative                    ," Atkins launched an initiative, inviting the parties to talks.              "
271, 1979-11        ," Fitt Resigns, Hume Succeeds          "," Fitt resigned as SDLP leader, to be succeeded by Hume.                     "
272, 1979-12        , Haughey Elected Taoiseach            , Charles Haughey was elected leader of Fianna Fáil and became Taoiseach.    
273, 1979-12        , Tyrone Landmine Attack               , Four soldiers were killed by an IRA landmine in County Tyrone.             
274, 1980-01        , Atkins Conference Boycott            , The Atkins conference opened with new Ulster Unionist party leader James Molyneaux boycotting the proceedings. 
275, 1980-03        , Atkins Conference Ends               , The Atkins conference was wound up.                                        
276, 1980-05        , Thatcher-Haughey Summit              , A meeting between Thatcher and Haughey in Downing Street appeared to improve Anglo-Irish relations. 
277, 1980-06        , ECHR Criticism                       ," The European Commission of Human Rights rejected a case taken by a protesting Mase prisoner, but criticised British ‘inflexibility’. "
278, 1980-06        , Miriam Daly Killed                   ," Dr Miriam Daly, a prominent republican activist, was shot dead at her home in west Belfast by loyalist gunmen. "
279, 1980-08        , Internment Anniversary Violence       , Three people were killed and 18 injured in widespread violence on the anniversary of internment. 
280, 1980-10        , H-Block Hunger Strike Begins         , Seven H-block prisoners began a hungerstrike to demand the return of special category status. 
281, 1980-12        , Hunger Strike Ends                   , The H-block hungerstrike was called off with one IRA prisoner critically ill. A second Thatcher–Haughey summit in Dublin launched joint studies on possible areas of cooperation including economics and security. 
282, 1981-01        , McAliskey Shooting                   ," Bernadette McAliskey, née Devlin, and her husband were shot and seriously wounded by UDA gunmen at their County Tyrone home. "
283, 1981-01        , Stronge Murders                      ," Two leading Unionists, Sir Norman Stronge and his son James, were killed by the IRA. "
284, 1981-03        , Second Hunger Strike Begins          , A second H-block hungerstrike was begun in support of special category status for prisoners. IRA prison leader Bobby Sands was the first to refuse food. 
285,1981, Lenihan’s Unity Prediction           , Irish Foreign Minister Brian Lenihan said the Anglo-Irish talks could lead to Irish unity in ten years. 
286, 1981-03        , Frank Maguire’s Death                ," The death occurred of Frank Maguire, independent nationalist MP for Fermanagh–South Tyrone. "
287, 1981-03        , Paisley’s Anti-Talks Rallies         , Paisley held major rallies in protest at Anglo-Irish talks.                
288, 1981-04        , Sands Elected MP                     , Sands won the Fermanagh–South Tyrone by-election.                          
289, 1981-05        , Sands’ Death                         , Sands died on the sixty-sixth day of his hungerstrike. His funeral in Belfast was attended by tens of thousands. 
290, 1981-05        , Hunger Strike Deaths and Bessbrook   ," Three further hungerstrikers died, and five soldiers were killed by a bomb in Bessbrook, County Armagh. "
291, 1981-06        , H-Block TDs Elected                  , Two H-block prisoners were elected to the Dáil in a general election which brought to power a Fine Gael–Labour coalition headed by Garret FitsGerald. 
292, 1981-07        , Two More Hunger Strike Deaths        , Two more hungerstrikers died.                                              
293, 1981-08        , Four Hunger Strike Deaths            , Four more hungerstrikers died. Sinn Féin member Owen Carron won the Fermanagh–South Tyrone by-election caused by the death of Sands. 
294, 1981-09        , Paisley’s ‘Third Force’ Call         , Paisley called for a ‘third force’ to be established on the lines of the B Specials. James Prior replaced Atkins as NI Secretary. 
295, 1981-10        , Hunger Strike Ends                   , The hungerstrike was called off. Prior announced that all prisoners could wear their own clothes and made concessions on other prisons issues. 
296, 1981-11        , Anglo-Irish Council Formed           , The Anglo-Irish Intergovernmental Council was set up by the two governments. 
297, 1981-11        , Robert Bradford Killed               , Unionist MP the Reverend Robert Bradford was killed by the IRA in south Belfast. 
298, 1981-11        , Loyalist Day of Action               ," A loyalist ‘day of action’ was staged to protest at security policy, with rallies and work stoppages. "
299, 1981-12        , Paisley’s Third Force Claim          ," Paisley claimed a new third force had between 15,000 and 20,000 members.   "
300, 1982-01        , John McKeague Assassination          , Prominent loyalist John McKeague was shot dead by the INLA.                
301, 1982-02        , Irish General Election               , A general election in the south returned Fianna Fáil and Charles Haughey to power. 
302, 1982-03        , Soldiers Killed in West Belfast      , Three soldiers were killed in west Belfast.                                
303, 1982-04        , Prior’s Assembly Proposal            , Prior proposed elections to an assembly which could have power devolved to it in stages. 
304, 1982-04        , IRA Bombing Campaign                  ," Two people were killed, twelve were injured and £1 million worth of damage was caused by IRA bomb attacks in Belfast, Londonderry, and five towns. "
305, 1982-05        , De Lorean Plant Closure               , The De Lorean plant closed with the loss of hundreds of jobs.              
306, 1982-07        , London Military Band Bombings        , IRA bomb attacks on military bands in London parks killed eleven soldiers. 
307, 1982-08        , SDLP Assembly Election Strategy       , The SDLP decided to contest Northern Ireland assembly elections but not to take their seats. 
308, 1982-10        , Sinn Féin Assembly Election           ," Sinn Féin contested assembly elections on an abstentionist ticket, securing 10% of the vote. "
309, 1982-10        , Lurgan RUC Bombing and Shootings      ," Three RUC officers were killed by an IRA bomb at Lurgan, County Armagh. Three IRA members were shot dead by the RUC at Lurgan, County Armagh. "
310, 1982-11        , Assembly First Sitting                ," The assembly met for the first time, with no nationalists attending.       "
311,1982, Lenny Murphy Killed                   ," Lenny Murphy, leader of the UVF Shankill Butchers gang, was shot dead by the IRA. "
312, 1982-12        , Ballykelly INLA Bombing               ," Seventeen people, including eleven soldiers, died in an INLA bombing in Ballykelly, County Londonderry. "
313, 1983-01        , Judge William Doyle Assassination     , Judge William Doyle was shot dead by the IRA as he left a Catholic church in Belfast. 
314, 1983-02        , European Parliament Inquiry Proposal , The European Parliament’s political committee voted for an inquiry on whether Europe could assist in tackling NI’s economic and political problems. This was opposed by the British government and by Unionists. 
315, 1983-03        , New Ireland Forum Announced           , The Irish government announced the setting up of the New Ireland Forum.    
316, 1983-04        , UVF Supergrass Trial                  , Fourteen defendants were jailed on the evidence of a UVF supergrass.       
317, 1983-05        , Andersonstown Bombing                 , A 1000lb IRA bomb exploded outside Andersonstown police station in Belfast. 
318, 1983-05        , New Ireland Forum Begins              , The New Ireland Forum held its first meeting in Dublin.                    
319, 1983-06        , UK General Election Results           ," In the British general election, Unionists won fifteen of the seventeen NI seats. Hume and Adams, who defeated Fitt in West Belfast, were elected to Westminster. "
320, 1983-07        , UDR Landmine Attack                   , Four UDR members were killed by an IRA landmine in County Tyrone.          
321, 1983-08        , IRA Supergrass Trial                  ," After a 120-day trial of thirty-eight people implicated by IRA supergrass Christopher Black, twenty-two were jailed. Their sentences totalled more than 4,000 years. "
322, 1983-09        , Mase Prison Breakout                  , Thirty-eight IRA prisoners escaped from the Mase in a mass breakout. Nineteen were recaptured within days. 
323, 1983-09        , Chequers Summit                       , Thatcher and FitsGerald met at Chequers for the first meeting of the Anglo-Irish Intergovernmental Council. 
324, 1983-09        , Adams Elected Sinn Féin President     , Adams was elected president of Sinn Féin.                                  
325, 1983-09        , Darkley Church Attack                 , Three members of the congregation of Darkley Pentecostal church in south Armagh were shot dead in an INLA attack. 
326, 1983-12        , Edgar Graham Assassination            ," UUP assembly member Edgar Graham was shot dead by the IRA at Queen’s University, Belfast. "
327, 1983-12        , Supermarket Kidnap Rescue             , An Irish soldier and a Garda cadet were killed during the rescue of a supermarket executive kidnapped by the IRA. 
328, 1983-12        , Harrods Bombing                       , Five people were killed and eighty were injured by an IRA bomb at Harrods department store in London. 
329, 1984-01        , Cardinal Ó Fiaich’s Sinn Féin Remarks , Cardinal Ó Fiaich said that it was not morally wrong to join Sinn Féin. The Irish government said it could not identify with the cardinal’s comments. 
330, 1984-03        , Adams Wounded by UDA                  , Adams was shot and wounded in Belfast by the UDA.                          
331, 1984-03        , Dominic McGlinchey Extradition        , INLA leader Dominic McGlinchey was extradited to NI from the Republic.     
332, 1984-04        , Travers Family Attack                 , The IRA shot dead the daughter of magistrate Tom Travers as she left mass with him in south Belfast. 
333, 1984-05        , New Ireland Forum Report              , The New Ireland Forum report was published.                                
334, 1984-06        , George Seawright Controversy          , DUP assembly member George Seawright lost the party whip after saying that Catholics and their priests should be ‘incinerated’. 
335, 1984-06        , RUC Acquittal                         , Three RUC members were acquitted of the murder of an unarmed IRA member.   
336, 1984-07        , Prior Rejects Forum Report            ," In the Commons, Prior rejected the main recommendations of the New Ireland Forum report. "
337, 1984-08        , Armagh Coroner Resignation            , An Armagh coroner resigned after finding ‘grave irregularities’ in RUC files relating to the shooting of two INLA men by police in 1982. 
338, 1984-09        , Douglas Hurd Appointed                , Douglas Hurd replaced Prior as Northern Ireland Secretary.                 
339, 1984-09        , Marita Ann Arms Seisure               ," Seven tons of arms and ammunition intended for the IRA were recovered from the Marita Ann off the Irish coast, in the biggest arms seisure since the 1973 capture of the Claudia. "
340, 1984-10        , Brighton Hotel Bombing                , An IRA bomb at the Conservative party conference hotel in Brighton killed five people. 
341, 1984-10        , Plastic Bullets Ruling                , The European Commission of Human Rights ruled that the use of plastic bullets in riot situations was justified. 
342, 1984-11        ," Thatcher’s ‘Out, Out, Out’ Statement  "," At the end of a summit with the Irish government Thatcher ruled out the three main New Ireland Forum options in what became known as her ‘Out, out, out’ pronouncement. "
343, 1984-12        , Ian Thain Conviction                  , Private Ian Thain was convicted of the murder of a civilian while on duty. 
344, 1984-12        , Supergrass Acquittals                 , 35 defendants charged on the word of a republican supergrass were acquitted. The Court of Appeal quashed the convictions of fourteen men jailed on the evidence of UVF supergrass Joseph Bennett. 
345, 1985-02        , Adams Visa Denied                    , The US government refused Adams a visa.                                    
346, 1985-02        , Hume-IRA Meeting Collapse            , Hume met members of the IRA’s army council but walked out within minutes when the IRA insisted on making a video recording of the occasion. 
347, 1985-02        , Strabane IRA Shootings               ," Three IRA members were shot dead by soldiers at Strabane, County Tyrone.   "
348, 1985-02        , Newry RUC Mortar Attack              ," Nine RUC officers were killed in an IRA mortar attack in Newry, County Down. "
349, 1985-05        , Sinn Féin Council Gains              , In the local government elections Sinn Féin won 59 council seats. This led to disruption of meetings by Unionists. 
350, 1985-05        , Killeen RUC Bombing                  ," Four RUC officers were killed by an IRA bomb at Killeen, County Armagh.    "
351, 1985-07        , Loyalist Parade Riots                ," Loyalist rioting over the rerouting of parades, especially in Portadown, led to loyalist attacks on police homes across Northern Ireland, forcing scores of RUC families to move house. "
352, 1985-08        , Unionist Leaders Meet Thatcher       , Molyneaux and Paisley met Thatcher in Downing Street.                      
353, 1985-09        , Tom King Appointed NI Secretary      , Tom King replaced Hurd as NI Secretary.                                    
354, 1985-11-15     , Anglo-Irish Agreement Signed         ," Prime ministers Thatcher and FitsGerald signed the Anglo-Irish Agreement, systematising cooperation with a permanent intergovernmental conference machinery and giving the Irish government a consultative role in NI affairs with a joint secretariat at Maryfield, outside Belfast. "
355, 1985-11        , Tom King Assaulted                   ," The new NI Secretary, Tom King, was assaulted by angry loyalists at Belfast’s City Hall. "
356, 1985-11        , Unionist Mass Protest                ," An estimated 100,000 Unionists gathered in Belfast city centre to voice their anger at the Anglo-Irish Agreement. "
357, 1985-12        , Anglo-Irish Conference First Meeting , The first meeting was held of the Anglo-Irish Intergovernmental Conference. 
358, 1985-12        , Unionist MPs Resign                  , All fifteen Unionist MPs resigned in order to force by-elections.          
359, 1986-01        , Newry–Armagh By-Election             , By-elections caused by the resignation of Unionist MPs gave the SDLP a second Westminster seat when Séamus Mallon was elected in Newry–Armagh. 
360, 1986-02        , European Terrorism Convention        , The Irish government announced its intention to sign the European Convention on the Suppression of Terrorism. 
361, 1986-02        , Unionist Leaders Criticised          ," Paisley and Molyneaux were invited to Downing Street. Although receptive to Thatcher’s offer of further talks, they were heavily criticised by colleagues when they returned to Belfast. "
362, 1986-03        , Unionist Day of Action               , A Unionist day of action disrupted public services and halted most industry. There was rioting in some loyalist areas. 
363, 1986-03        , Portadown Parade Clashes             ," Clashes took place between the RUC and loyalists in Portadown after a ban on an Apprentice Boys parade. Eleven Catholic homes in Lisburn, County Antrim, were petrol-bombed. "
364, 1986-04        , Portadown Loyalist Death             , A loyalist was killed by a plastic bullet during renewed rioting in Portadown. Loyalist attacks on Catholic and RUC homes continued. 
365, 1986-04        , Unionist Civil Disobedience Plan     , Unionist leaders announced a civil disobedience plan including non-payment of rates. 
366, 1986-04        , UUP-Conservative Split               , The UUP announced that it was ending its last links with the Conservative party. 
367, 1986-05        , Hermon Condemns Loyalist Attacks     , The Chief Constable Sir John Hermon condemned the loyalist attacks on Catholic and RUC homes and accused politicians of consorting with paramilitary elements. 
368, 1986-05        , Belfast Council Protest Ends         , Belfast city council ended its adjournment protest against the Anglo-Irish Agreement. 
369, 1986-05        , NI Assembly Dissolved                , King announced the dissolution of the NI assembly.                         
370, 1986-06        , Stalker Inquiry Controversy          , In controversial circumstances John Stalker was removed from the inquiry into RUC ‘shoot-to-kill’ incidents. Suggestions of improprieties on his part were later dismissed and he was reinstated as Deputy Chief Constable of the Manchester police. The NI assembly was wound up. Twenty-two assembly members who refused to leave the chamber were physically removed by the RUC. 
371, 1986-07        , Garvaghy Road Compromise             ," Portadown Orangemen accepted a compromise route along Garvaghy Road. However, rioting and clashes with the RUC continued. "
372, 1986-07        , RUC Officers Suspended               , Hermon suspended two senior officers after investigations into the alleged ‘shoot-to-kill’ policy in 1982. 
373, 1986-08        , IRA Widens Targets                   , The IRA announced it was widening its list of ‘legitimate targets’.        
374, 1986-08        , Peter Robinson Arrested              , DUP deputy leader Peter Robinson was arrested and charged after crossing the border into County Monaghan with scores of other loyalists during a late-night protest demonstration. 
375, 1986-09        , UVF Member’s Funeral                 , UUP and DUP politicians attended the funeral of assassinated UVF member John Bingham. 
376, 1986-11        , Sinn Féin Dáil Policy Shift           , Sinn Féin decided to permit successful Sinn Féin candidates to take their seats in the Dáil. Ruairí Ó Brádaigh led a walkout. 
377,1986, Diplock Trials Rejected              , Thatcher rejected the Irish call for Diplock trials to be heard by three judges. The UDA planted four bombs in Dublin. 
378,1986, Ulster Resistance Formed             , Ulster Resistance was formed ‘to take direct action as and when required’ to defeat the Anglo-Irish Agreement. DUP leaders featured at early meetings. 
379, 1986-12        , Flags and Emblems Act Repealed       , King announced the repeal of the Flags and Emblems Act.                    
380, 1986-12        , Paisley Expelled from EU Parliament  , Paisley was expelled from the European Parliament after repeatedly interrupting a speech by Thatcher. 
381, 1986-12        , Lisburn Road Bombing                 , Lisburn Road RUC station in south Belfast was destroyed by an IRA bomb. Hundreds of homes and businesses were also damaged. 
382, 1987-01        , David Calvert Shooting               , DUP politician David Calvert was shot and wounded by the INLA.             
383, 1987-01        , Peter Robinson’s Guilty Plea         ," Robinson pleaded guilty in a Dublin court to unlawful assembly and paid £17,500 in fines. "
384, 1987-01        , UDA’s Common Sense Manifesto         ," The UDA published a political manifesto called *Common Sense*, proposing devolved government with a form of powersharing. This was greeted by Unionist condemnation but some nationalist praise. "
385, 1987-02        , UDA Incendiary Bomb Campaign         , The UDA planted incendiary bombs in the Republic.                          
386, 1987-02        , Unionist Anti-Agreement Petition      ," Unionist MPs delivered a petition with 400,000 signatures to Buckingham Palace, calling for a referendum in NI on the Anglo-Irish Agreement. "
387, 1987-02        , Unionist Task Force Formation        , Paisley and Molyneaux set up an inter-party task force to draft an alternative to the Anglo-Irish Agreement. 
388, 1987-03        , Fianna Fáil Election Victory         , Fianna Fáil led by Charles Haughey returned to power after a general election on 19 February. 
389, 1987-03        , Reagan’s NI Economic Grant           , President Reagan gave the first $50 million grant to an international economic regeneration fund set up alongside the Anglo-Irish Agreement. 
390, 1987-04        , Lord Gibson Assassination            ," Northern Ireland’s second most senior judge, Lord Gibson, and his wife were killed by an IRA car bomb at Killeen, County Armagh. "
391, 1987-05        , Sinn Féin’s *Scenario for Peace*     ," Sinn Féin published a document entitled *Scenario for Peace*, demanding British withdrawal and an all-Ireland constitutional conference. "
392, 1987-05        , DUP Rejects Powersharing             , Paisley said the DUP would have no part in any powersharing system.        
393, 1987-05        , Loughgall SAS Ambush                 ," Eight IRA members were shot dead by the SAS as they launched an attack on an RUC station at Loughgall, County Armagh. A civilian was also killed. "
394, 1987-06        , UK General Election Results          ," The Conservatives won a third general election victory. Eddie McGrady’s defeat of Enoch Powell gave the SDLP three seats, while Adams retained West Belfast. "
395, 1987-07        , Short Brothers Dispute               , Short Brothers closed a section of its plant in a dispute about removing loyalist flags and emblems. 
396, 1987-09        , Unionist-NIO Talks Resume            ," Unionists ended a nineteen-month ban on meeting NIO ministers, meeting King for ‘talks about talks’. "
397, 1987-11        , *Eksund* Arms Seisure                , The French authorities intercepted a large consignment of arms and explosives on its way to the IRA from Libya on board the *Eksund*. It later emerged that earlier large shipments had got through. 
398, 1987-11        , Enniskillen Remembrance Day Bombing  , An IRA bomb in Enniskillen killed eleven Protestants during a Remembrance Day ceremony. 
399, 1987-11        , George Seawright Assassination       , Loyalist politician George Seawright was fatally injured by the IPLO.      
400, 1987-12        , Extradition Bill Passed              , A new extradition bill was passed by the Dáil.                             
401, 1987-12        , John McMichael Killed                ," Senior UDA figure John McMichael, who had helped draft the *Common Sense* document, was killed by the IRA. "
402, 1988-01        , UDA South African Arms Deal          ," UDA members were arrested with a large haul of guns, revealing that loyalists had made a South African arms deal. "
403, 1988-01        , Hume-Adams Dialogue Begins           , Hume and Adams met at the request of a third person.                       
404, 1988-01        , Stalker Inquiry Prosecutions Dropped , Attorney-General Sir Patrick Mayhew announced that there would be no prosecutions over the Stalker inquiry ‘in the interests of national security’. 
405, 1988-01        , Unionist Devolution Proposal         , Molyneaux and Paisley met King to suggest administrative devolution with committees chaired according to party strengths. 
406, 1988-01        , Birmingham Six Appeal Lost           , The Birmingham Six lost their appeal against conviction.                   
407, 1988-02        , Sinn Féin-SDLP Talks Approved        , A Sinn Féin conference approved further talks between Adams and Hume.      
408, 1988-02        , Private Thain Released               ," Private Thain, convicted of murder while on duty, was released from a life sentence after twenty-six months and returned to his regiment. "
409, 1988-02        , FEA Employment Report                , The FEA reported an increased Catholic share of public sector employment.  
410, 1988-03        , Gibraltar SAS Killings               , Three IRA volunteers were shot dead by the SAS in Gibraltar.               
411, 1988-03        , Milltown Cemetery Attack             , UDA member Michael Stone attacked the funerals of the IRA members killed in Gibraltar. He killed three people and injured dosens of others. 
412, 1988-03        , Soldiers Killed at Funeral           , Two plain clothes soldiers were attacked by a crowd and then shot dead at an IRA funeral in west Belfast. 
413, 1988-03        , UDA Leadership Change                , Andy Tyrie was replaced as UDA leader.                                     
414, 1988-04        , McGuinness on Ceasefire              ," At a republican Easter commemoration, McGuinness denied that talks with SDLP included the possibility of an IRA ceasefire. "
415, 1988-04        , Robinson’s Stance on Sinn Féin       ," Robinson, re-elected as DUP deputy leader, said there should be no talks with Sinn Féin even if the IRA ended its campaign. "
416, 1988-04        , King Criticises SDLP-Sinn Féin Talks , King criticised the SDLP–Sinn Féin talks.                                  
417, 1988-04        , Adams on Dialogue                    , Adams said that as long as there was the possibility of common ground with the SDLP they were morally bound to seek it. 
418, 1988-05        , IRA Attacks in Europe                ," Three members of the RAF were killed in IRA attacks in Europe. The IRA bombed an army base in Bielefeld, Germany. "
419, 1988-05        , UVF Bar Attack                       , A UVF gun attack on a Belfast bar killed three people.                     
420, 1988-05        , McLaughlin on Self-Determination     , Sinn Féin’s Mitchel McLaughlin said it was time for all nationalists to agree on ‘the Irish people’s right to national self-determination’. 
421, 1988-05        , SDLP-Sinn Féin Dialogue Continues    , Further meetings took place between Sinn Féin and the SDLP. Bishop Cahal Daly said SDLP–Sinn Féin dialogue was ‘better than killing’. 
422, 1988-06        , SDLP-Sinn Féin Talks Continue        , The SDLP announced it would hold at least one further meeting with Sinn Féin. 
423, 1988-06        , McGimpsey Constitutional Case        , UUP members brothers Chris and Michael McGimpsey took a case in the Irish courts arguing that the Anglo-Irish Agreement conflicted with Articles 2 and 3 of the Irish constitution. 
424, 1988-06        , Lisburn Fun Run Bombing              , An IRA bomb killed six soldiers at a Lisburn ‘fun run’.                    
425, 1988-07        , Stalker Inquiry Disciplinary Action  , It was announced that twenty RUC officers would be disciplined as a result of the Stalker–Sampson investigations. 
426, 1988-07        , Belfast Council Clash                , A Belfast city council meeting was abandoned after Unionist and Sinn Féin members came to blows. 
427, 1988-07        , Hanna Family Bombing                 , Three members of the Hanna family were killed in an IRA border bombing intended for a judge. 
428, 1988-08        , Inglis Barracks Bombing              ," A soldier was killed by an IRA bomb at Inglis barracks, London.            "
429, 1988-08        , Ballygawley Bus Bombing              ," Eight soldiers on a bus were killed by an IRA bomb at Ballygawley, County Tyrone. Thatcher ordered a security review. "
430, 1988-08        , SAS Ambush in Tyrone                 , Three IRA members were killed by the SAS in County Tyrone.                 
431, 1988-09        , SDLP-Sinn Féin Talks End             , The end of the Sinn Féin–SDLP talks was announced. The SDLP said it regretted being unable to persuade the republicans to end their military campaign; Sinn Féin said it found the SDLP attitude ‘perplexing’. 
432, 1988-10        , Paisley Ejected from EU Parliament   , Paisley was ejected from the European Parliament chamber after interrupting an address by the Pope. 
433, 1988-10        , Jim Craig Killed                     , Leading UDA figure Jim Craig was killed by members of his own organisation. 
434, 1988-10        , Broadcasting Ban Introduced          , Home Secretary Douglas Hurd announced a broadcasting ban on members and supporters of paramilitary organisations. 
435, 1988-11        , Ulster Resistance Arms Find          , An arms find in County Armagh was linked to Ulster Resistance. The DUP said it had severed all links with Ulster Resistance some time earlier. 
436, 1988-11        , European Court Ruling on Detention   , The European Court of Human Rights ruled against detention without charge for more than four days. 
437, 1988-12        , King’s Stance on Sinn Féin           , King said he would not meet Sinn Féin even if its elected representatives signed a non-violence oath. 
438, 1989-01        , Hume’s Cross-Community Proposal      , Hume said Unionists should sit down with Dublin and northern nationalists to make an agreement which would transcend the Anglo-Irish Agreement. 
439, 1989-01        , Adams’ IRA Warning                   , At the Sinn Féin ard fheis Adams warned the IRA to be ‘careful and careful again’ to avoid civilian casualties. 
440, 1989-02        , Duisburg Meetings                    ," Meetings in Duisburg, West Germany, involving four NI parties were publicised. "
441, 1989-02        , Pat Finucane Assassination           , Solicitor Pat Finucane was shot dead at his Belfast home by loyalist gunmen. 
442, 1989-02        , John Davey Assassination             ," Sinn Féin councillor John Davey was shot dead at his Magherafelt, County Londonderry, home by loyalists. "
443, 1989-02        , IRA Campaign in Britain              , An IRA campaign in Britain started with the planting of a bomb at Tern Hill military barracks. 
444, 1989-03        , Adams on Self-Determination          , Adams said there was an urgent need for an unarmed political movement to secure self-determination. 
445, 1989-03        , Hurd’s IRA Warning                   ," Home Secretary Douglas Hurd warned that Britain was facing the threat of high-level IRA activity, adding that the IRA must be ‘extirpated’. "
446, 1989-04        , Anglo-Irish Conference Expansion     , The Anglo-Irish Intergovernmental Conference agreed to ‘deepen and widen’ its work. 
447, 1989-04        , Ulster Resistance Arms Arrests       , Three alleged Ulster Resistance members were detained in Paris with a South African figure and an alleged arms dealer. 
448, 1989-05        , Sir John Hermon Retires              , Sir John Hermon retired as Chief Constable of the RUC.                     
449, 1989-07        , Fianna Fáil Coalition Victory        , Fianna Fáil and Haughey were returned to power in a coalition with the Progressive Democrats. 
450, 1989-07        , Peter Brooke Appointed NI Secretary  , Peter Brooke succeeded King as NI Secretary.                               
451, 1989-08        , Adams Praises IRA                    , Adams praised ‘the men and women of the IRA’ at an internment rally in west Belfast. 
452, 1989-08        , Noraid Split                         ," A split was revealed in Noraid, the main republican support organisation in the USA, over Sinn Féin’s political direction. "
453, 1989-08        , UDA Security Files Leak              , The UDA produced confidential security force files on alleged IRA suspects. 
454, 1989-09        , Deal Barracks Bombing                , An IRA bomb at Deal in Kent killed eleven military bandsmen.               
455, 1989-10        , Adams on Armed Struggle              , Adams told a Labour party fringe meeting that he supported the IRA’s right to engage in armed struggle. 
456, 1989-10        , Stevens Inquiry Arrests              , Twenty-eight UDR men were arrested in early morning swoops on the orders of the Stevens inquiry team. 
